0.69	12.909	2021-2-26
0.69	12.944	2020-4-23
0.69	12.949	2020-6-6
0.69	12.959	2019-9-22
0.69	12.984	2020-4-11
0.69	13.066	2021-5-9
0.69	13.080	2019-4-7
0.69	13.108	2020-10-3
0.70	13.160	2019-5-23
0.70	13.175	2020-5-25
0.70	13.179	2021-5-7
0.70	13.224	2019-9-28
0.70	13.227	2020-4-22
0.70	13.305	2020-8-13
0.70	13.319	2019-10-5
0.70	13.347	2019-9-30
0.71	13.370	2019-9-29
0.71	13.386	2020-4-6
0.71	13.392	2019-8-3
0.71	13.438	2020-9-7
0.71	13.468	2019-9-8
0.71	13.591	2021-2-25
0.71	13.611	2021-3-16
0.71	13.753	2020-9-30
0.71	13.759	2020-8-8
0.72	13.762	2019-4-21
0.72	13.839	2020-4-19
0.72	13.875	2019-9-21
0.72	13.878	2019-3-9
0.72	13.904	2019-3-20
0.72	13.956	2019-9-27
0.72	14.136	2021-4-28
0.72	14.145	2019-8-30
0.73	14.185	2019-9-25
0.73	14.207	2019-2-26
0.73	14.329	2020-4-15
0.73	14.332	2019-9-15
0.73	14.335	2019-9-20
0.73	14.415	2020-4-16
0.73	14.458	2019-9-5
0.73	14.550	2020-9-14
0.74	14.556	2019-3-11
0.74	14.611	2019-5-16
0.74	14.698	2020-5-17
0.74	14.707	2020-8-12
0.74	14.725	2019-8-31
0.74	14.816	2019-6-1
0.74	14.827	2019-7-12
0.74	14.842	2020-5-29
0.75	14.853	2020-9-21
0.75	14.922	2019-9-7
0.75	14.949	2020-4-28
0.75	15.050	2019-6-29
0.75	15.147	2021-3-6
0.75	15.158	2020-5-2
0.75	15.184	2020-6-9
0.75	15.233	2019-9-11
0.75	15.270	2021-3-10
0.76	15.313	2019-6-4
0.76	15.340	2021-3-2
0.76	15.364	2019-9-19
0.76	15.395	2020-8-18
0.76	15.433	2020-6-4
0.76	15.461	2019-9-1
0.76	15.509	2020-9-20
0.76	15.546	2019-6-17
0.77	15.559	2019-9-18
0.77	15.575	2019-7-16
0.77	15.591	2020-9-19
0.77	15.623	2020-4-25
0.77	15.655	2021-3-9
0.77	15.675	2019-3-28
0.77	15.675	2021-3-7
0.77	15.699	2019-6-5
0.78	15.701	2021-3-8
0.78	15.731	2021-4-22
0.78	15.744	2020-8-22
0.78	15.762	2020-8-24
0.78	15.791	2020-9-8
0.78	15.802	2019-3-23
0.78	15.853	2021-5-12
0.78	15.872	2021-3-4
0.79	16.087	2020-5-18
0.79	16.155	2019-5-25
0.79	16.167	2021-3-17
0.79	16.192	2019-7-27
0.79	16.193	2021-4-10
0.79	16.195	2021-5-15
0.79	16.206	2020-7-12
0.79	16.208	2019-4-27
0.79	16.222	2020-7-24
0.80	16.263	2021-3-12
0.80	16.313	2020-9-12
0.80	16.318	2019-3-30
0.80	16.362	2021-3-27
0.80	16.396	2020-9-1
0.80	16.446	2020-6-3
0.80	16.481	2020-7-26
0.80	16.485	2019-4-2
0.81	16.488	2021-3-23
0.81	16.518	2019-9-16
0.81	16.654	2019-8-14
0.81	16.655	2019-4-29
0.81	16.658	2020-8-25
0.81	16.685	2020-6-1
0.81	16.699	2020-5-3
0.81	16.708	2020-9-13
0.82	16.879	2020-7-28
0.82	16.974	2019-9-13
0.82	16.982	2019-9-3
0.82	16.994	2019-8-12
0.82	17.003	2020-5-23
0.82	17.032	2021-5-14
0.82	17.071	2019-5-20
0.82	17.115	2019-8-11
0.82	17.129	2020-9-5
0.83	17.136	2019-8-10
0.83	17.154	2021-3-13
0.83	17.176	2019-7-14
0.83	17.262	2019-3-17
0.83	17.287	2019-8-4
0.83	17.296	2019-5-26
0.83	17.301	2021-4-30
0.83	17.449	2021-5-13
0.84	17.469	2019-4-25
0.84	17.511	2019-3-12
0.84	17.565	2021-3-21
0.84	17.589	2021-3-22
0.84	17.612	2020-8-28
0.84	17.631	2020-5-6
0.84	17.652	2021-3-5
0.84	17.721	2019-7-10
0.85	17.773	2021-3-20
0.85	17.835	2020-9-4
0.85	17.845	2019-7-20
0.85	17.893	2019-3-16
0.85	17.906	2020-7-29
0.85	17.908	2020-8-6
